순위,게임명,장르
1,리그 오브 레전드,RTS
2,배틀그라운드,FPS
3,오버워치,FPS
4,피파온라인4,스포츠
5,카트라이더,레이싱
6,서든어택,FPS
7,스타크래프트,RTS
8,로스트아크,RPG
9, 메이플 스토리,RPG
10,던전앤파이터,RPG
11,디아블로3,RPG
12,리니지,RPG
13,도타2,RTS
14,월드 오브 워크래프트,RPG
15,사이퍼즈,RPG
16,블레이드 & 소울,RPG
17,워크래프트3,RTS
18,리니지2,RPG
19,스타크래프트2,RTS
20,레인보우식스 시즈,FPS
21,히어로즈 오브 더 스톰,RTS
22,아이온,RPG
23,한게임 로우바둑이,포커
24,거상,RPG
25,데스티니 가디언즈,FPS
26,크레이지 아케이드(BNB),아케이드
27,스페셜포스,FPS
28,검은사막,RPG
29,한게임 하이로우,포커
30,GTA 5,RPG
31,테일즈런너,레이싱
32,에이펙스 레전드,FPS
33,몬스터헌터,RPG
34,하스스톤,보드
35,엘소드,아케이드
36,카운터 스트라이크 온라인,FPS
37,한게임 신맞고,고스톱
38,아키에이지,RPG
39,파이널판타지 14,RPG
40,마구마구,스포츠
41,디아블로2,RPG
42,천애명월도,RPG
43,피망 고스톱,고스톱
44,카운터 스트라이크 : 글로벌 오펜시브,FPS
45,한게임 라스베가스 포커,포커
46,테라,RPG
47,한게임 세븐포커,포커
48,데드 바이 데이라이트,RPG
49,뮤,RPG
50,버블파이터,아케이드
